id,name,country,countryCode,headquartersCity,usState,foundedYear,companyType,website,linkedin,segments,fundingStage,employeeRange,description,notableAchievements,activeProducts
mda-space,MDA Space,Canada,CA,"Brampton, Ontario",,1969,publicly_traded,https://mda.space,https://www.linkedin.com/company/mda,satellite_manufacturer; in_space_services,Public (MDA.TO),"3,000+","MDA Space is a leading space technology company known for developing Canadarm, Canadarm2, and advanced satellite systems. The company specializes in robotics, satellite systems, and geointelligence.",Canadarm legacy; Lunar Gateway Canadarm3 contract; RADARSAT Constellation,Canadarm3; CHORUS satellites; Space robotics
telesat,Telesat,Canada,CA,"Ottawa, Ontario",,1969,publicly_traded,https://www.telesat.com,https://www.linkedin.com/company/telesat,satellite_operator,Public (TSAT),500+,"Telesat operates one of the world's largest satellite fleets and is developing Telesat Lightspeed, a LEO constellation for global enterprise-grade connectivity.",50+ years in satellite communications; Telesat Lightspeed development,GEO fleet; Telesat Lightspeed LEO
kari,Korea Aerospace Research Institute,South Korea,KR,Daejeon,,1989,government_agency,https://www.kari.re.kr,,government_agency; launch_provider,,"1,000+","KARI is South Korea's aerospace research institute responsible for developing the KSLV rockets. KARI achieved the successful Nuri rocket launches, establishing Korea's independent space access.",KSLV-II Nuri successful launches; Korea Pathfinder Lunar Orbiter,Nuri (KSLV-II); Next-generation launch vehicle
hanwha-aerospace,Hanwha Aerospace,South Korea,KR,Changwon,,1977,publicly_traded,https://www.hanwhaaerospace.com,https://www.linkedin.com/company/hanwha-aerospace,propulsion_systems; satellite_manufacturer,Public,"6,000+",Hanwha Aerospace is a leading Korean aerospace and defense company developing satellite systems and rocket propulsion. The company is investing heavily in space capabilities.,Korean satellite production; Satrec Initiative acquisition,Satellite buses; Propulsion systems; Space ventures
uaesa,UAE Space Agency,United Arab Emirates,AE,Abu Dhabi,,2014,government_agency,https://space.gov.ae,,government_agency,,200+,The UAE Space Agency regulates and supports the UAE's rapidly growing space sector. The agency has overseen ambitious missions including the Hope Mars Orbiter.,Hope Mars Orbiter (first Arab interplanetary mission); Rashid lunar rover,National space strategy; Space research programs
mbrsc,Mohammed Bin Rashid Space Centre,United Arab Emirates,AE,Dubai,,2006,government_agency,https://mbrsc.ae,https://www.linkedin.com/company/maborashidsc,satellite_manufacturer; lander,,400+,MBRSC is Dubai's space center responsible for developing satellites and space missions. The center built the Hope Mars orbiter and the Rashid lunar rover.,Hope (Al-Amal) Mars mission; Rashid lunar rovers; DubaiSat series,Hope; Rashid; Earth observation satellites
asa,Australian Space Agency,Australia,AU,Adelaide,,2018,government_agency,https://www.space.gov.au,https://www.linkedin.com/company/australian-space-agency,government_agency,,100+,"The Australian Space Agency coordinates national space activities and works to grow Australia's space industry. The agency focuses on Earth observation, communications, and space situational awareness.",Artemis Accords signatory; Moon to Mars initiative,National space strategy; Industry partnerships
gilmour-space,Gilmour Space Technologies,Australia,AU,"Gold Coast, Queensland",,2013,commercial_private,https://www.gspace.com,https://www.linkedin.com/company/gilmour-space-technologies,launch_provider,Series D,150+,Gilmour Space Technologies is developing the Eris rocket for small satellite launches from Australia. The company aims to provide sovereign launch capability for the Indo-Pacific region.,Hybrid rocket engine development; Bowen launch site development,Eris
lsa,Luxembourg Space Agency,Luxembourg,LU,Luxembourg City,,2018,national_space_org,https://space-agency.public.lu,,national_space_org,,30+,The Luxembourg Space Agency promotes space activities and coordinates the country's SpaceResources.lu initiative for space resources utilization. Luxembourg is a hub for space mining companies.,First European space resources law; SpaceResources.lu initiative,Space resources framework; Industry development
ses,SES,Luxembourg,LU,Betzdorf,,1985,publicly_traded,https://www.ses.com,https://www.linkedin.com/company/ses,satellite_operator,Public,"2,000+","SES is one of the world's leading satellite operators, providing global content connectivity solutions through a fleet of GEO and MEO satellites including the O3b mPOWER constellation.",O3b MEO constellation; Global video distribution; Government solutions,Astra; O3b mPOWER; SES-17
tsa,Turkish Space Agency,Turkey,TR,Ankara,,2018,national_space_org,https://tua.gov.tr,,national_space_org,,100+,"The Turkish Space Agency coordinates Turkey's space activities and implements the National Space Program, including lunar mission plans and domestic satellite development.",National Space Program 2021; First Turkish astronaut mission planning,TÜRKSAT satellites; Space technology development
roketsan,Roketsan,Turkey,TR,Ankara,,1988,state_owned,https://www.roketsan.com.tr,https://www.linkedin.com/company/roketsan,propulsion_systems; launch_provider,,"4,000+","Roketsan is Turkey's leading rocket and missile manufacturer, developing space launch capabilities. The company is working on solid rocket motors and small launch vehicles.",Solid rocket motor development; Space launch vehicle program,Sounding rockets; Propulsion systems
aeb,Brazilian Space Agency,Brazil,BR,Brasília,,1994,government_agency,https://www.gov.br/aeb,,government_agency,,300+,"The Brazilian Space Agency coordinates Brazil's space activities, including the Alcântara Launch Center development and satellite programs with INPE.",Alcântara Launch Center (optimal equatorial location); CBERS satellite partnership with China,VLS rocket development; Alcântara commercial launches
asi,Italian Space Agency,Italy,IT,Rome,,1988,government_agency,https://www.asi.it,https://www.linkedin.com/company/agenzia-spaziale-italiana,government_agency,,200+,ASI is the Italian national space agency coordinating Italy's significant space activities. Italy is a major contributor to European space programs and ISS modules.,"ISS modules (Columbus, Cupola); COSMO-SkyMed constellation; Vega rocket leadership",Space research; ISS contributions; Earth observation
avio,Avio,Italy,IT,Colleferro,,1912,publicly_traded,https://www.avio.com,https://www.linkedin.com/company/avio-s-p-a-,launch_provider; propulsion_systems,Public,"1,300+",Avio is an Italian aerospace company that develops and produces the Vega small launch vehicle for ESA. The company specializes in solid and liquid rocket propulsion systems.,Vega launch vehicle; Vega-C development; Ariane boosters,Vega-C; P120C motors; Zefiro motors
cnes,CNES,France,FR,Paris,,1961,government_agency,https://cnes.fr,https://www.linkedin.com/company/cnes,government_agency,,"2,400+",CNES is the French national space agency and a major contributor to European space activities. CNES operates the Guiana Space Centre and leads numerous satellite and exploration programs.,Guiana Space Centre; Ariane program leadership; Mars missions,Launch complex operations; Space research; Earth observation
nosa,Norwegian Space Agency,Norway,NO,Oslo,,1987,national_space_org,https://www.romsenter.no,,national_space_org,,50+,"The Norwegian Space Agency coordinates Norway's space activities, focusing on Earth observation, satellite communications, and Arctic monitoring capabilities.",Arctic satellite ground stations; ESA contributions; NorSat series,Space infrastructure; Research programs
andoya-space,Andøya Space,Norway,NO,Andenes,,1962,commercial_private,https://www.andoyaspace.no,https://www.linkedin.com/company/andoya-space,ground_systems; launch_provider,,150+,Andøya Space operates sounding rocket and balloon launch facilities in northern Norway. The company is developing Andøya Spaceport for small satellite orbital launches.,"1,200+ sounding rocket launches; Andøya Spaceport development",Sounding rockets; Andøya Spaceport; Satellite ground stations
uksa,UK Space Agency,United Kingdom,GB,Swindon,,2010,government_agency,https://www.gov.uk/government/organisations/uk-space-agency,https://www.linkedin.com/company/uk-space-agency,government_agency,,200+,The UK Space Agency is responsible for all strategic decisions on the UK civil space programme and represents the UK in ESA. The agency is developing UK launch capabilities.,UK spaceport development; ESA contributions; OneWeb rescue,National Space Strategy; Launch programs
sstl,Surrey Satellite Technology,United Kingdom,GB,Guildford,,1985,commercial_private,https://www.sstl.co.uk,https://www.linkedin.com/company/surrey-satellite-technology-limited,satellite_manufacturer,,500+,"SSTL is a world leader in small satellite design and manufacture. The company has built over 70 satellites and pioneered low-cost, high-capability small satellite missions.",70+ satellites delivered; DMC constellation; Galileo IOV satellites,Earth observation satellites; Navigation payloads; Platforms
osa-singapore,Office for Space Technology & Industry,Singapore,SG,Singapore,,2013,national_space_org,https://www.space.gov.sg,,national_space_org,,30+,"OSTIn coordinates Singapore's space industry development and research activities. Singapore focuses on satellite technology, space robotics, and downstream applications.",Singapore Space Technology Association support; Satellite hub development,Industry development; Research programs
saudispace,Saudi Space Agency,Saudi Arabia,SA,Riyadh,,2018,government_agency,https://saudispace.gov.sa,,government_agency,,200+,The Saudi Space Agency is developing Saudi Arabia's space capabilities as part of Vision 2030. The agency is building domestic satellite capability and astronaut programs.,First Saudi astronauts; Domestic satellite development programs,National space strategy; Astronaut program
spire-global,Spire Global,United States,US,"Vienna, VA",VA,2012,publicly_traded,https://spire.com,https://www.linkedin.com/company/spabordering-global,satellite_operator; data_analytics,Public (SPIR),500+,"Spire Global operates a constellation of nanosatellites providing weather, maritime, and aviation tracking data. The company collects and analyzes data from space for various industries.",100+ satellite constellation; Global AIS coverage; Weather data services,Lemur nanosatellites; Maritime data; Weather analytics
blacksky,BlackSky,United States,US,"Herndon, VA",VA,2014,publicly_traded,https://www.blacksky.com,https://www.linkedin.com/company/blacksky-global,satellite_operator; data_analytics,Public (BKSY),400+,BlackSky provides real-time geospatial intelligence through its constellation of high-resolution imaging satellites and AI-powered analytics platform.,Real-time intelligence platform; Defense and commercial contracts,Gen-3 satellites; Spectra AI platform
capella-space,Capella Space (IonQ),United States,US,"San Francisco, CA",CA,2016,publicly_traded,https://www.capellaspace.com,https://www.linkedin.com/company/capella-space,satellite_operator; data_analytics,Acquired (IonQ),200+,"Capella Space operates a constellation of SAR satellites providing high-resolution radar imagery day or night, through any weather. Acquired by IonQ (NYSE: IONQ) in July 2025 to build a space-based quantum key distribution (QKD) network. Leadership team remains in place; satellite operations continue uninterrupted.",Acquired by IonQ (July 2025); First US commercial SAR satellite; Sub-meter resolution SAR,Whitney satellites; SAR data services; QKD network (development)
stoke-space,Stoke Space,United States,US,"Kent, WA",WA,2019,commercial_private,https://www.stokespace.com,https://www.linkedin.com/company/stoke-space-technologies,launch_provider,Series D,200+,"Stoke Space is developing a fully and rapidly reusable launch vehicle. Founded by former Blue Origin engineers, the company raised $860M in a Series D at ~$2B valuation. Its Nova rocket is in final pre-launch testing as of mid-2026, selected for NSSL Phase 3 Lane 1.",Full-flow staged combustion engine; Reusable upper stage hover test; $860M Series D at ~$2B valuation; NSSL Phase 3 Lane 1 selection; Nova rocket in final testing (2026),Nova rocket
phantom-space,Phantom Space,United States,US,"Tucson, AZ",AZ,2019,commercial_private,https://www.phantomspace.com,https://www.linkedin.com/company/phantom-space-corporation,launch_provider; satellite_manufacturer,Series A,150+,Phantom Space is developing affordable launch vehicles and satellite solutions. The company aims to democratize space access with low-cost rockets and satellite platforms.,Daytona rocket development; Integrated space solutions,Daytona rocket; Satellite buses
vast,Vast,United States,US,"Long Beach, CA",CA,2021,commercial_private,https://www.vastspace.com,https://www.linkedin.com/company/vast-space,space_stations,Private,500+,"Vast is developing Haven-1, designed to be the first commercial space station to operate independently of ISS. Backed by Jed McCaleb, the station is manifested on a SpaceX Falcon 9 with a crew delivery via Dragon. Haven-1 launch is targeted for 2026, with Vast-1 crew mission to follow.",SpaceX Falcon 9 launch contract; Haven-1 targeting 2026 launch; Vast-1 crew mission planned; First standalone commercial station,Haven-1 station; Haven-2 (development)
orbital-reef,Orbital Reef,United States,US,"Seattle, WA",WA,2021,joint_venture,https://www.orbitalreef.com,,space_stations,,N/A (consortium),Orbital Reef is a commercial space station being developed by Blue Origin and Sierra Space. The station will serve as a mixed-use business park in low Earth orbit.,NASA Commercial LEO Destination award; Multi-company partnership,Orbital Reef station modules
interstellar-lab,Interstellar Lab,United States,US,"Los Angeles, CA",CA,2018,commercial_private,https://interstellarlab.earth,,manufacturing_materials,,11-50,Building environmentally-controlled modules for sustainable farming on Earth and life-support in space.,,BioPod; Space habitats
agile-space,Agile Space Industries,United States,US,"Durango, CO",CO,2016,commercial_private,https://agilespace.com,,propulsion_systems,,51-200,An in-space propulsion solution provider specializing in hypergolic chemical systems.,,Propulsion systems
all-space,ALL.SPACE,United Kingdom,GB,Reading,,2015,commercial_private,https://all.space,,ground_systems,,51-200,Providing smart terminals that can connect all satellites networks and devices simultaneously.,,Multi-beam antennas
ast-spacemobile,AST SpaceMobile,United States,US,"Midland, TX",TX,2017,publicly_traded,https://ast-science.com,,satellite_operator,Public (ASTS),51-200,Creating a space-based cellular broadband network accessible on standard smartphones. AST SpaceMobile has secured a DoD missile defense prime contract and launched its BlueBird satellite constellation for direct-to-cell connectivity.,BlueWalker 3 satellite; Direct-to-cell connectivity; DoD missile defense prime contract; BlueBird satellite launches,BlueBird satellites
astranis,Astranis,United States,US,"San Francisco, CA",CA,2015,commercial_private,https://www.astranis.com,,satellite_manufacturer; satellite_operator,Series D,201-500,Building affordable satellites to connect the offline population with dedicated broadband.,MicroGEO satellite technology,MicroGEO satellites
benchmark-space,Benchmark Space Systems,United States,US,"Burlington, VT",VT,2017,commercial_private,https://www.benchmarkspacesystems.com,,propulsion_systems; in_space_services,,51-200,Full life cycle in-space mobility provider delivering products from mission planning through decommission.,,Green propulsion systems; Halcyon thrusters
blue-canyon,Blue Canyon Technologies,United States,US,"Lafayette, CO",CO,2008,commercial_private,https://bluecanyontech.com,,satellite_manufacturer,,201-500,Providing low-cost high-performance spacecraft systems for various missions.,Acquired by Raytheon,CubeSat buses; Small satellite systems
cesiumastro,CesiumAstro,United States,US,"Austin, TX",TX,2017,commercial_private,https://www.cesiumastro.com,,satellite_manufacturer,Series C,51-200,Providing communication technology for space and airborne applications.,,Active phased array systems; Software-defined radios
clearspace,ClearSpace,Switzerland,CH,Renens,,2018,commercial_private,https://clearspace.today,,in_space_services,,50+,Pioneering technology to remove space debris and keep orbit sustainable.,ESA ClearSpace-1 mission contract,Debris removal spacecraft
earthdaily,EarthDaily Analytics,Canada,CA,"Vancouver, BC",,2019,commercial_private,https://earthdaily.com,,satellite_operator; data_analytics,,51-200,Observing verifying and predicting changes to the Earth's surface to help people understand and take action.,,EarthDaily Constellation; Analytics platform
echostar,EchoStar,United States,US,"Englewood, CO",CO,1980,publicly_traded,https://www.echostar.com,,satellite_operator,Public (SATS),1001-5000,Providing satellite communication solutions and broadband services.,Hughes Network Systems acquisition; Jupiter satellite fleet,Satellite communications; Broadband services
eumetsat,EUMETSAT,Europe,EU,"Darmstadt, Germany",,1986,government_agency,https://www.eumetsat.int,,satellite_operator; government_agency,,501-1000,Monitoring weather climate and environment to support people and industries worldwide.,Meteosat program; Global weather monitoring,Meteosat; MetOp; Sentinel satellites
exotrail,Exotrail,France,FR,Massy,,2017,commercial_private,https://exotrail.com,,propulsion_systems; in_space_services,Series B,51-200,Designs develops and operates agile space mobility solutions for small satellites.,,ExoMG thrusters; SpaceVan orbital transfer vehicle
ghgsat,GHGSat,Canada,CA,"Montreal, QC",,2011,commercial_private,https://www.ghgsat.com,,satellite_operator; data_analytics,,51-200,Measuring emissions from space with high-resolution greenhouse gas monitoring.,World's first commercial satellite for methane monitoring,Emissions monitoring satellites
gitai,GITAI USA,United States,US,"Los Angeles, CA",CA,2016,commercial_private,https://gitai.tech,,manufacturing_materials,,11-50,Developing robotic systems for building and maintaining satellites and space habitats.,ISS robotics demonstration,Space robotics; Autonomous systems
iceye,ICEYE,Finland,FI,Espoo,,2014,commercial_private,https://www.iceye.com,,satellite_operator; data_analytics,Series D,201-500,Delivering persistent monitoring with SAR satellite technology for all-weather imaging.,First commercial SAR satellite under 100kg,SAR satellites; Analytics platform
inversion,Inversion,United States,US,"Torrance, CA",CA,2021,commercial_private,https://www.inversionspace.com,,transportation_logistics,Series A,11-50,Developing high cadence re-entry vehicles to enable easy return from space.,,Re-entry capsules
jpl,Jet Propulsion Laboratory,United States,US,"Pasadena, CA",CA,1936,government_agency,https://www.jpl.nasa.gov,,government_agency,,5001-10000,Space research and development center managed for NASA by the California Institute of Technology.,Mars rovers; Voyager missions; Cassini-Huygens,Planetary missions; Space exploration technology
kepler,Kepler Communications,Canada,CA,"Toronto, ON",,2015,commercial_private,https://www.kepler.space,,satellite_operator,Series B,51-200,Designing building launching and operating a network of LEO satellites to bring internet to outer space.,,LEO communication satellites
leolabs,LeoLabs,United States,US,"Menlo Park, CA",CA,2016,commercial_private,https://leolabs.space,,data_analytics; ground_systems,Series B,51-200,Developing software to help commercial enterprises and agencies launch and track missions in LEO.,Global radar network,Space domain awareness; Tracking services
loft-orbital,Loft Orbital,United States,US,"San Francisco, CA",CA,2017,commercial_private,https://www.loftorbital.com,,satellite_manufacturer; in_space_services,Series C,201-500,Deploying space infrastructure as a service providing rapid reliable and simplified access to space.,,YAM satellites
lunar-outpost,Lunar Outpost,United States,US,"Golden, CO",CO,2017,commercial_private,https://www.lunaroutpost.com,,lander; manufacturing_materials,,51-200,Enabling extended human presence in space with autonomous Lunar Rovers and sensor systems.,MOXIE rover for NASA,Lunar rovers; Air quality sensors
lynk,Lynk Global,United States,US,"Falls Church, VA",VA,2017,commercial_private,https://lynk.world,,satellite_operator,,11-50,"Lynk Global provides direct-to-phone satellite connectivity using nanosatellites. In October 2025, Lynk announced a merger with Omnispace for comprehensive D2D connectivity, with SES becoming a major strategic partner.",First text from space to unmodified phone; Omnispace merger (Oct 2025); SES partnership,Lynk satellite constellation; D2D connectivity platform
momentus,Momentus,United States,US,"San Jose, CA",CA,2017,publicly_traded,https://momentus.space,,in_space_services; transportation_logistics,Public (MNTS) — Micro-cap,11-50,"Momentus provides in-space transportation via its Vigoride orbital transfer vehicle. After near-bankruptcy in 2024 and restructuring, Momentus completed its Vigoride-7 mission in 2025. The company trades at micro-cap levels on Nasdaq and is focused on winning government and commercial OTV contracts to stabilize revenue.",,Vigoride orbital transfer vehicle
muon-space,Muon Space,United States,US,"Mountain View, CA",CA,2021,commercial_private,https://www.muonspace.com,,satellite_manufacturer; data_analytics,Series A,51-200,Understanding predicting and modeling our changing planet through space-based sensor networks.,,Earth observation satellites
mynaric,Mynaric,Germany,DE,Munich,,2009,publicly_traded,https://mynaric.com,,satellite_manufacturer,Public (MYNA),201-500,Revolutionizing laser communications for air space and mobile applications.,,Optical communication terminals
open-cosmos,Open Cosmos,United Kingdom,GB,Harwell,,2015,commercial_private,https://www.open-cosmos.com,,satellite_manufacturer; satellite_operator,Series C,51-200,Providing simple and affordable satellite missions with end-to-end solutions.,,Small satellites; Mission services
outpost,Outpost,United States,US,"Reno, NV",NV,2020,commercial_private,https://www.outpost.space,,transportation_logistics,Seed,11-50,Pioneering multi-ton Earth return for the growing space economy and point-to-point delivery.,,Re-entry capsules
redwire,Redwire Space,United States,US,"Jacksonville, FL",FL,2020,publicly_traded,https://redwirespace.com,,satellite_manufacturer; manufacturing_materials,Public (RDW),501-1000,Developing mission critical solutions for next generation space infrastructure.,ISS solar arrays; In-space manufacturing,Space infrastructure; 3D printing
satellogic,Satellogic,Argentina,AR,Buenos Aires,,2010,publicly_traded,https://satellogic.com,,satellite_operator; data_analytics,Public (SATL) — Going concern disclosed,201-500,"Satellogic delivers high-resolution satellite imagery via a LEO constellation. The company's 2024 10-K filing (March 2025) disclosed going concern doubt, citing cash constraints. Operations continue but financial outlook remains uncertain.",,NewSat constellation
slingshot,Slingshot Aerospace,United States,US,"Austin, TX",TX,2017,commercial_private,https://slingshotaerospace.com,,data_analytics,Series B,51-200,Bringing together data from multiple sources to provide a full dynamic orbital picture.,,Seradata; Space domain awareness
space-perspective,Space Perspective,United States,US,"Titusville, FL",FL,2019,commercial_private,https://spaceperspective.com,,suborbital,,51-200,Offering a safe and accessible six-hour journey to the edge of space in a giant SpaceBalloon.,,Spaceship Neptune
spinlaunch,SpinLaunch,United States,US,"Long Beach, CA",CA,2014,commercial_private,https://www.spinlaunch.com,,launch_provider,Series A,51-200,Developing a revolutionary kinetic launch system for affordable frequent access to space for small satellites.,Successful suborbital test flights,Kinetic launch system
stratolaunch,Stratolaunch,United States,US,"Seattle, WA",WA,2011,commercial_private,https://www.stratolaunch.com,,launch_provider,,201-500,Designing manufacturing and launching aerospace vehicles for space access and hypersonic flight.,World's largest wingspan aircraft,Roc carrier aircraft; Talon-A hypersonic vehicle
aerospace-corporation,The Aerospace Corporation,United States,US,"El Segundo, CA",CA,1960,nonprofit_research,https://aerospace.org,,government_agency,,1001-5000,Providing technical expertise for space programs and national security missions.,,Technical consulting; Systems engineering
turion-space,Turion Space,United States,US,"Irvine, CA",CA,2020,commercial_private,https://turionspace.com,,in_space_services,Series A,51-200,Building spacecraft for national security and in-space servicing making space safer smarter and more sustainable.,,DROID spacecraft
umbra,Umbra,United States,US,"Santa Barbara, CA",CA,2015,commercial_private,https://umbra.space,,satellite_operator; data_analytics,Series B,51-200,Developing space systems for observing the Earth in high resolution with SAR technology.,,SAR satellites
ursa-major,Ursa Major,United States,US,"Berthoud, CO",CO,2015,commercial_private,https://www.ursamajor.com,,propulsion_systems,Series D,201-500,Developing propulsion systems for space launch hypersonics and national security applications.,Hadley engine production,Hadley engine; Arroway engine
venus-aerospace,Venus Aerospace,United States,US,"Houston, TX",TX,2020,commercial_private,https://www.venusaero.com,,propulsion_systems,Series A,51-200,Developing high-speed hypersonic transportation for one-hour global travel.,,Stargazer hypersonic aircraft
xona-space,Xona Space Systems,United States,US,"San Mateo, CA",CA,2019,commercial_private,https://www.xonaspace.com,,satellite_operator,Series A,11-50,Developing a real-time positioning navigation and timing service for global navigation.,,Pulsar navigation constellation
york-space,York Space Systems,United States,US,"Denver, CO",CO,2012,commercial_private,https://www.yorkspacesystems.com,,satellite_manufacturer,,201-500,Providing end-to-end mission solutions for next-gen space operations.,S-CLASS platform,S-CLASS spacecraft bus
zeno-power,Zeno Power,United States,US,"Washington, D.C.",DC,2018,commercial_private,https://zenopower.com,,manufacturing_materials,Series A,11-50,Developing space-based nuclear power systems using nuclear waste for long-duration missions.,,Radioisotope power systems
starfish-space,Starfish Space,United States,US,"Kent, WA",WA,2019,commercial_private,https://www.starfishspace.com,https://www.linkedin.com/company/starfish-space,in_space_services; satellite_operator,Series A,51-100,"Starfish Space develops satellite servicing vehicles for rendezvous, proximity operations, and docking (RPO&D). The company's Otter spacecraft demonstrated autonomous docking in orbit in 2024, making it one of the first commercial RPO successes.",Otter RPO demo (2024); Autonomous satellite docking; DARPA NOM-4 contract,Otter; Nautilus
scout-space,Scout Space,United States,US,"Boulder, CO",CO,2020,commercial_private,https://www.scoutspace.com,,data_analytics; satellite_operator,Series A,11-50,"Scout Space builds space-based space domain awareness (SDA) sensors. Its Owl satellites observe other spacecraft from orbit, providing real-time custody tracking for defense and commercial customers.",First commercial SDA satellite launched; U.S. Space Force contracts,Owl SDA satellites
castelion,Castelion,United States,US,"Los Angeles, CA",CA,2022,commercial_private,https://www.castelion.com,,satellite_manufacturer; in_space_services,Series B,51-200,Castelion builds hypersonic vehicles and orbital platforms for defense applications. The company completed rapid manufacturing of its Hatchet vehicle and secured contracts for missile defense and prompt global strike architecture.,Hatchet vehicle development; DoD defense contracts; Rapid manufacturing capability,Hatchet
epsilon3,Epsilon3,United States,US,"Los Angeles, CA",CA,2021,commercial_private,https://www.epsilon3.io,https://www.linkedin.com/company/epsilon3,ground_systems; data_analytics,Series B,51-100,"Epsilon3 provides an operating system for launch and spacecraft operations, digitizing test and launch procedures. Used by major launch providers and NASA programs to replace paper-based workflows with real-time collaboration tools.","Used by NASA, SpaceX, Firefly, Relativity; Y Combinator graduate",Epsilon3 platform
hermeus,Hermeus,United States,US,"Atlanta, GA",GA,2018,commercial_private,https://www.hermeus.com,https://www.linkedin.com/company/hermeus,transportation_logistics; propulsion_systems,Series C,201-500,"Hermeus is developing Mach 5+ hypersonic aircraft, including the Quarterhorse autonomous testbed and the Halcyon passenger vehicle. The company has USAF contracts for hypersonic flight testing and completed its first engine test in 2024.",Quarterhorse Mk 1 taxi test; USAF Vanguard contract; Chimera turbine-ramjet engine,Quarterhorse; Halcyon; Chimera engine
alba-orbital,Alba Orbital,United Kingdom,GB,"Glasgow, Scotland",,2012,commercial_private,https://www.albaorbital.com,,satellite_manufacturer; satellite_operator,Series A,11-50,Alba Orbital manufactures the world's smallest commercial imaging satellites. Their PocketQube-class 'Unicorn' satellites deliver Earth observation at dramatically lower cost per satellite.,Unicorn-2 imaging satellite; PocketQube pioneer,Unicorn satellites; PocketQube kits
d-orbit,D-Orbit,Italy,IT,Como,,2011,publicly_traded,https://www.dorbit.space,https://www.linkedin.com/company/d-orbit,in_space_services; transportation_logistics,Public,201-500,"D-Orbit provides in-space logistics services through its ION Satellite Carrier, a last-mile delivery vehicle that deploys satellites to precise orbital slots from a single rideshare launch. Listed on Euronext with 20+ successful missions.",20+ ION missions; Euronext listing; ESA and DoD contracts,ION Satellite Carrier; Aurora satellite bus
endurosat,EnduroSat,Bulgaria,EU,Sofia,,2015,commercial_private,https://www.endurosat.com,https://www.linkedin.com/company/endurosat,satellite_manufacturer; satellite_operator; data_analytics,Series A,51-100,"EnduroSat is a European shared satellite platform provider. The company offers Satellite-as-a-Service, allowing customers to deploy payloads on shared spacecraft without building their own satellite. Raised $26M Series A in 2024.",Satellite-as-a-Service pioneer; ESA contract awardee; Series A $26M (2024),Shared Satellite Platform; MicroSat bus
latitude,Latitude (Venture Orbital Systems),France,FR,Reims,,2019,commercial_private,https://www.intolat.com,,launch_provider,Series B,51-100,"Latitude (formerly Venture Orbital Systems) is a French launch startup developing the Zephyr micro-launcher for dedicated small satellite missions from European spaceports. Targeting first launch from Esrange, Sweden.",,Zephyr micro-launcher
sidus-space,Sidus Space,United States,US,"Cape Canaveral, FL",FL,2012,publicly_traded,https://sidusspace.com,https://www.linkedin.com/company/sidusspace,satellite_manufacturer; data_analytics; manufacturing_materials,Public,51-100,"Sidus Space designs, manufactures, and operates multi-sensor satellites for AI-powered Earth observation and space domain awareness. Their LizzieSat platform supports custom payloads for government and commercial customers.",LizzieSat launched 2024; NASDAQ listed (SIDU); DoD contracts,LizzieSat
space-forge,Space Forge,United Kingdom,GB,"Cardiff, Wales",,2018,commercial_private,https://www.spaceforge.com,,manufacturing_materials; satellite_manufacturer,Series A,51-100,"Space Forge develops returnable and reusable satellites for in-space manufacturing, producing advanced materials like semiconductors and alloys in microgravity. Their ForgeStar platform is designed for recovery and reuse.",ForgeStar-1 mission; UK Space Agency funded; In-space manufacturing pioneer,ForgeStar
hydrosat,HydroSat,United States,US,"Washington, D.C.",DC,2017,commercial_private,https://www.hydrosat.com,,satellite_operator; data_analytics,Series A,11-50,"HydroSat operates thermal infrared Earth observation satellites to monitor water stress, crop health, and wildfire risk. Their data products support precision agriculture and environmental monitoring at high revisit rates.",Thermal IR constellation; NOAA data buy contract; USDA partnership,Thermal IR satellites; Water stress analytics
starcloud,Starcloud,United States,US,"San Francisco, CA",CA,2023,commercial_private,https://www.starcloud.com,,data_analytics; in_space_services,Seed,11-50,"Starcloud is building space-based data centers to provide ultra-low-latency cloud computing from orbit. Backed by Y Combinator, the company aims to leverage the vacuum and cooling advantages of space for high-performance computing workloads including AI inference and edge processing.",Y Combinator W24 batch; Space data center concept,Orbital data center (development)
isptech,ISPTech,Germany,DE,Munich,,2020,commercial_private,https://www.isptech.de,,propulsion_systems,Early Stage,11-50,"ISPTech develops green propulsion systems for small satellites and spacecraft, replacing toxic hydrazine-based thrusters with environmentally friendly alternatives. The German company focuses on high-performance, non-toxic bipropellant engines for LEO and deep-space missions.",Green propulsion development; ESA technology contracts,Green bipropellant thrusters
skynopy,Skynopy,France,FR,Paris,,2021,commercial_private,https://www.skynopy.com,,ground_systems; data_analytics,Seed,11-50,"Skynopy operates a distributed ground station network that provides satellite operators with on-demand downlink services across multiple continents. The Paris-based company offers Ground-Station-as-a-Service, reducing the cost and complexity of satellite data reception.",Multi-continent ground station network; Ground-Station-as-a-Service model,Ground station network; Downlink-as-a-Service
albedo-space,Albedo Space,United States,US,"Broomfield, CO",CO,2020,commercial_private,https://albedo.com,https://www.linkedin.com/company/albedo-space,satellite_manufacturer; satellite_operator; data_analytics,Series B,51-100,"Albedo Space operates commercial satellites in Very Low Earth Orbit (VLEO) at altitudes of 96–300 km, enabling optical imagery at 10 cm resolution — the highest commercially available. Their Clarity-1 satellite launched on SpaceX Transporter-13 in March 2025. VLEO dramatically reduces cost while increasing image sharpness versus traditional LEO constellations.",Clarity-1 launched March 2025 (first VLEO commercial imager); 10 cm optical resolution — sharpest commercial imagery; ~$100M raised,Clarity constellation
